ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
147,INTERQUÍMICA INDUSTRIAL SA,"INTERQUÍMICA INDUSTRIAL SA, Parque Industrial (oficina SCZ), Representación La Paz, La Paz, Bolivia",Importadora de Ingredientes Alimenticios,Representación La Paz,La Paz
148,CRUZIMEX LTDA.,"CRUZIMEX LTDA., Representación La Paz, La Paz, Bolivia",Importadora-Distribuidora de Alimentos,La Paz,La Paz
149,ALICORP BOLIVIA,"ALICORP BOLIVIA, La Paz, La Paz, Bolivia",Importadora-Distribuidora de Insumos,La Paz,La Paz
150,INDUSTRIAL QUÍMICA SRL – IMPORTADORA,"INDUSTRIAL QUÍMICA SRL – IMPORTADORA, La Paz, La Paz, Bolivia",Importadora Ingredientes,La Paz,La Paz
151,IMPORTADORA ANDEAN FOODS,"IMPORTADORA ANDEAN FOODS, La Paz, La Paz, Bolivia",Importadora de Ingredientes,La Paz,La Paz
152,DISTRIBUCIONES INTERNACIONALES PACEÑAS,"DISTRIBUCIONES INTERNACIONALES PACEÑAS, La Paz, La Paz, Bolivia",Importadora-Distribuidora,La Paz,La Paz
153,IMPORTADORA GOYA – REPRESENTACIÓN BOLIVIA,"IMPORTADORA GOYA – REPRESENTACIÓN BOLIVIA, La Paz, La Paz, Bolivia",Importadora de Alimentos,La Paz,La Paz
154,PROVEEDORA GASTRONÓMICA ANDES SRL,"PROVEEDORA GASTRONÓMICA ANDES SRL, La Paz, La Paz, Bolivia",Proveedor de Insumos Gastronómicos,La Paz,La Paz
155,IMPORTACIONES ALIMENTARIAS DEL ALTIPLANO,"IMPORTACIONES ALIMENTARIAS DEL ALTIPLANO, El Alto, El Alto, Bolivia",Importadora,El Alto,El Alto
156,DISTRIBUIDORA GLOBAL FOODS – LA PAZ,"DISTRIBUIDORA GLOBAL FOODS – LA PAZ, La Paz, La Paz, Bolivia",Distribuidora Internacional,La Paz,La Paz
157,BUNGE BOLIVIA,"BUNGE BOLIVIA, La Paz, La Paz, Bolivia",Agro-industrial / Materias Primas,La Paz,La Paz
158,IMPORTADORA GOURMET ANDINO,"IMPORTADORA GOURMET ANDINO, La Paz, Sopocachi / Miraflores, La Paz, Bolivia",Importadora Gourmet,Sopocachi / Miraflores,La Paz
159,DISTRIBUIDORA CONDIMENTOS DEL PACÍFICO,"DISTRIBUIDORA CONDIMENTOS DEL PACÍFICO, La Paz, La Paz, Bolivia",Distribuidora Especializada,La Paz,La Paz
160,IMPORTEX BOLIVIA – INGREDIENTES,"IMPORTEX BOLIVIA – INGREDIENTES, La Paz, La Paz, Bolivia",Importadora General,La Paz,La Paz
161,SNACK ANDINO – INDUSTRIA DE PAPAS,"SNACK ANDINO – INDUSTRIA DE PAPAS, El Alto, El Alto, Bolivia",Snacks / Alimentos Procesados,El Alto,El Alto
162,FÁBRICA DE SALSAS Y ADEREZOS LA PACEÑA,"FÁBRICA DE SALSAS Y ADEREZOS LA PACEÑA, La Paz, La Paz, Bolivia",Salsas y Aderezos,La Paz,La Paz
163,EMBUTIDOS ILLIMANI – CALSINA VARGAS,"EMBUTIDOS ILLIMANI – CALSINA VARGAS, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
164,EMBUTIDOS LA BENIANA – CONCENTA TICONA,"EMBUTIDOS LA BENIANA – CONCENTA TICONA, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
165,PRODUCTOS NATURALES Y ORGÁNICOS ANDINOS,"PRODUCTOS NATURALES Y ORGÁNICOS ANDINOS, El Alto, El Alto, Bolivia",Alimentos Naturales/Orgánicos,El Alto,El Alto
166,CAFÉ COLISEO – CADENA BOLIVIANA,"CAFÉ COLISEO – CADENA BOLIVIANA, La Paz, Sopocachi / Centro, La Paz, Bolivia",Cafetería-Restaurante Cadena,Sopocachi / Centro,La Paz
167,ROASTER – CAFÉ DE ESPECIALIDAD,"ROASTER – CAFÉ DE ESPECIALIDAD, La Paz, Sopocachi, La Paz, Bolivia",Cafetería / Tostadora,Sopocachi,La Paz
